Period,Week,Day,Stockroom,Sub Division,Group Major,Pin,Item Description,Customer Name,Custome Orders Number,MSG Order Number,Order Line,Truck Loads,Quantity,Margin,Price,Unit Cost,Unit Margin,Invoice  Number
FY24-P11,FY24-W47,5/17/24,Fond du Lac,Whey,WPI,104373-CS001,IWPI90 SH RBGH FREE NGMO,LACTOLAND TROCKENMILCHWERK GMBH,40699/1,860175,1,-0.9,"-39,683","($238,100)",$6.00 ,$0.00 ,$6.00 ,C034781
FY24-P11,FY24-W47,5/17/24,Fond du Lac,Co-Products,Whey Powder,1005061,WHEY POWDER 25KG,5280 Cattle Company,RSSFD51624,885013,1,1,"42,163","$2,281 ",$0.48 ,$0.43 ,$0.05 ,595165
FY24-P11,FY24-W47,5/17/24,Fond du Lac,Milk,MPC 70,100399,MPC70,JUST IN TIME WAREHOUSE,4500000929,890346,2,1,"41,887","($2,362)",$2.80 ,$2.86 ,($0.06),595166
FY24-P11,FY24-W47,5/17/24,Fond du Lac,Whey,WPI,104342-CS001,IWPI90 LACTOSE FREE,Optimum Nutrition,4590206175,876612,1,1,"42,328","$164,931 ",$7.49 ,$3.59 ,$3.90 ,595167
FY24-P11,FY24-W47,5/17/24,Fond du Lac,Whey,WPI,104342-CS001,IWPI90 LACTOSE FREE,Optimum Nutrition,4590206173,876610,1,1,"42,328","$164,931 ",$7.49 ,$3.59 ,$3.90 ,595168
FY24-P11,FY24-W47,5/17/24,Fond du Lac,Whey,WPI,104342-CS001,IWPI90 LACTOSE FREE,Optimum Nutrition,4590206174,876611,1,1,"42,328","$164,931 ",$7.49 ,$3.59 ,$3.90 ,595169
FY24-P11,FY24-W47,5/17/24,Fond du Lac,Whey,WPI,100245-102170,IWPI90,Wautoma - Port Edwards,P263509,889570,1,1,"42,328","$156,925 ",$6.95 ,$3.24 ,$3.71 ,595170
FY24-P11,FY24-W47,5/17/24,Fond du Lac,Specialty,PRObev,104586,INSTANT PROBEV 90,Wautoma - Port Edwards,P264029,890735,1,0.2,"8,433","$33,193 ",$7.50 ,$3.56 ,$3.94 ,595174
FY24-P11,FY24-W47,5/17/24,Fond du Lac,Whey,WPI,100245-102170,IWPI90,Wautoma - Port Edwards,P261844,885526,2,0.8,"31,746","$133,567 ",$7.45 ,$3.24 ,$4.21 ,595175
FY24-P11,FY24-W47,5/17/24,Fond du Lac,Co-Products,Whey Powder,1005062,WHEY POWDER TOTE (FOOD GRADE) KOSHER,MSG New Holstein Distribution,P263095-22,888644,1,1,"42,774",($955),$0.39 ,$0.41 ,($0.02),595183
FY24-P11,FY24-W47,5/17/24,Fond du Lac,Whey,WPI,100245-102170,IWPI90,"VALENTINE ENTERPRISES, INC",2024-00-76859,884322,1,1,"42,328","$156,925 ",$6.95 ,$3.24 ,$3.71 ,595184
FY24-P11,FY24-W47,5/17/24,Fond du Lac,Whey,WPI,104384,IWPI90 RBGH FREE NON-GMO (GRASS FED),"Nutricost Manufacturing, LLC",0197-231110-17,860511,2,0.8,"34,568","$137,801 ",$7.00 ,$3.01 ,$3.99 ,595185
FY24-P11,FY24-W47,5/17/24,Fond du Lac,Whey,WPI,100245-102170,IWPI90,"VALENTINE ENTERPRISES, INC",2024-00-76857,884321,1,1,"42,328","$156,925 ",$6.95 ,$3.24 ,$3.71 ,595186
FY24-P11,FY24-W47,5/17/24,Fond du Lac,Whey,WPI,100245-102170,IWPI90,Wautoma - Port Edwards,P261849,885527,2,1,"42,328","$178,089 ",$7.45 ,$3.24 ,$4.21 ,595191
FY24-P11,FY24-W47,5/16/24,Fond du Lac,Whey,WPI,100245-CS055,IWPI90,Optimum Nutrition,4590206382,876714,1,1,"42,328","$151,743 ",$6.59 ,$3.01 ,$3.58 ,595021
FY24-P11,FY24-W47,5/16/24,Fond du Lac,Co-Products,Whey Powder,1005062,WHEY POWDER TOTE (FOOD GRADE) KOSHER,MSG New Holstein Distribution,P263095-18,888640,1,1,"43,023",($961),$0.39 ,$0.41 ,($0.02),595023
FY24-P11,FY24-W47,5/16/24,Fond du Lac,Whey,WPI,100245-CS055,IWPI90,Optimum Nutrition,4590206380,876713,1,1,"42,328","$151,743 ",$6.59 ,$3.01 ,$3.58 ,595025
FY24-P11,FY24-W47,5/16/24,Fond du Lac,Co-Products,Whey Powder,1005062,WHEY POWDER TOTE (FOOD GRADE) KOSHER,"Esmilco, Inc.",12051,870842,1,1,"42,853",($528),$0.40 ,$0.41 ,($0.01),595027
FY24-P11,FY24-W47,5/16/24,Fond du Lac,Specialty,Lactoferrin Enriched,104589,NUTRIPRO LACTOFERRIN 45% WPI 90 NK,Unipharm Healthy Manufacturing,YYGF-20240130,874957,2,0.1,"2,205","$295,276 ",$140.60 ,$6.66 ,$133.94 ,595028
FY24-P11,FY24-W47,5/16/24,Fond du Lac,Specialty,Other Food,1004879,NUTRIPRO 30% ALPHA-LACTALBUMIN NK,Develing International (Vietnam),0669/DVL-MSG,888799,2,0,44,$266 ,$7.70 ,$1.67 ,$6.03 ,595029
FY24-P11,FY24-W47,5/16/24,Fond du Lac,Whey,WPI,100245-CS055,IWPI90,Optimum Nutrition,4590206385,876715,1,0.7,"29,983","$107,485 ",$6.59 ,$3.01 ,$3.58 ,595070
FY24-P11,FY24-W47,5/16/24,Fond du Lac,Whey,WPI,1005042-CS001,IWPI90 LOW LAC SH RBGH FREE NGMO,Wautoma - Port Edwards,P264289,891509,1,0.1,"5,291","$20,313 ",$7.20 ,$3.36 ,$3.84 ,595071
FY24-P11,FY24-W47,5/16/24,Fond du Lac,Co-Products,Whey Powder,1005062,WHEY POWDER TOTE (FOOD GRADE) KOSHER,MSG New Holstein Distribution,P263095-19,888641,1,1,"43,341",($968),$0.39 ,$0.41 ,($0.02),595072
FY24-P11,FY24-W47,5/16/24,Fond du Lac,Whey,WPI,1005042-CS001,IWPI90 LOW LAC SH RBGH FREE NGMO,Wautoma - Port Edwards,P264443,891900,1,1,"41,843","$141,809 ",$6.75 ,$3.36 ,$3.39 ,595078
FY24-P11,FY24-W47,5/16/24,Fond du Lac,Whey,WPI,104384,IWPI90 RBGH FREE NON-GMO (GRASS FED),Prinova NAGASE Group,249221,873090,2,1,"42,328","$189,900 ",$7.50 ,$3.01 ,$4.49 ,595079
FY24-P11,FY24-W47,5/16/24,Fond du Lac,Whey,WPI,100245-CS055,IWPI90,INNOVATIVE LABS GROUP LLC,140961,890132,2,0,44,$198 ,$7.50 ,$3.01 ,$4.49 ,595080
FY24-P11,FY24-W47,5/15/24,Fond du Lac,Specialty,PRObev,104558,PROBEV 90 AGGLOMERATED,MSG - Samples - Human Nutr,Agglo,891467,1,0,66,$0 ,$3.91 ,$3.91 ,$0.00 ,594809
FY24-P11,FY24-W47,5/15/24,Fond du Lac,Co-Products,Whey Powder,1005061,WHEY POWDER 25KG,"TMW International, Inc.",E0524003,890536,1,1,"42,163","($1,695)",$0.38 ,$0.42 ,($0.04),594880
FY24-P11,FY24-W47,5/15/24,Fond du Lac,Whey,WPI,100245-CS055,IWPI90,Optimum Nutrition,4590206378,876712,1,1,"42,328","$151,743 ",$6.59 ,$3.01 ,$3.58 ,594882
FY24-P11,FY24-W47,5/15/24,Fond du Lac,Whey,WPI,100245-CS055,IWPI90,Optimum Nutrition,4590159549,830044,2,1,"42,328","$31,531 ",$3.75 ,$3.01 ,$0.74 ,594883
FY24-P11,FY24-W47,5/15/24,Fond du Lac,Specialty,Lactoferrin Enriched,104589,NUTRIPRO LACTOFERRIN 45% WPI 90 NK,"Shing Jih Perfumery Co., Ltd.",SP-240005,R001608,1,0,-22,"($2,901)",$132.00 ,$0.41 ,$131.59 ,C034737
FY24-P11,FY24-W47,5/15/24,Fond du Lac,Milk,MPI & Micell,103871,Instant Micellar Casein Non-GMO LG,"BIO TRUST NUTRITION, LLC",POBT00708-2,884797,1,0,"1,764","$3,212 ",$5.00 ,$3.18 ,$1.82 ,594921
FY24-P11,FY24-W47,5/15/24,Fond du Lac,Milk,MPI & Micell,103871,Instant Micellar Casein Non-GMO LG,"Melaleuca, Inc",773435,881875,1,0.1,"5,291","$14,664 ",$5.95 ,$3.18 ,$2.77 ,594923
FY24-P11,FY24-W47,5/15/24,Fond du Lac,Whey,WPI,100245-CS055,IWPI90,Optimum Nutrition,4590159550,830045,2,1,"42,328","$31,531 ",$3.75 ,$3.01 ,$0.74 ,594924
FY24-P11,FY24-W47,5/15/24,Fond du Lac,Co-Products,Whey Powder,104387,WHEY POWDER CHANGEOVER,Johnson Farms,JF050124-4,890266,1,1,"42,163","$5,481 ",$0.28 ,$0.15 ,$0.13 ,594926
FY24-P11,FY24-W47,5/14/24,Fond du Lac,Whey,WPC 80,104151-CS032,IWPC80 NON-GMO,Nellson Nutraceutical LLC,2148121-OP-4001,877493,4,0.2,"8,818","$1,767 ",$2.88 ,$2.68 ,$0.20 ,594748
FY24-P11,FY24-W47,5/14/24,Fond du Lac,Whey,WPI,100245-102170,IWPI90,North Central Companies L,149194-3,860768,2,1,"42,328","$118,406 ",$6.04 ,$3.24 ,$2.80 ,594749
FY24-P11,FY24-W47,5/14/24,Fond du Lac,Co-Products,Whey Powder,104387,WHEY POWDER CHANGEOVER,Johnson Farms,JF050124-3,890265,1,1,"42,163","$5,481 ",$0.28 ,$0.15 ,$0.13 ,594751
FY24-P11,FY24-W47,5/14/24,Fond du Lac,Co-Products,Whey Powder,1005062,WHEY POWDER TOTE (FOOD GRADE) KOSHER,Roosevelt Dairy Trade Inc.,19795-2,867383,1,0.6,"26,057",($191),$0.40 ,$0.41 ,($0.01),594753
FY24-P11,FY24-W47,5/14/24,Fond du Lac,Whey,WPI,1005241,IWPI90 NGMO 500KG TOTE,"Nutricost Manufacturing, LLC",0197-231109-9A,890557,1,0.4,"17,608","$51,111 ",$6.00 ,$3.10 ,$2.90 ,594774
FY24-P11,FY24-W47,5/14/24,Fond du Lac,Milk,MPI & Micell,101648-100880,INSTANT MICELLAR CASEIN LOW VISCO,Wautoma - Port Edwards,P264172,891332,1,0,"1,808","$3,097 ",$5.00 ,$3.29 ,$1.71 ,594775
FY24-P11,FY24-W47,5/14/24,Fond du Lac,Whey,WPI,103567,IWPI90 NON-GMO,Wautoma - Port Edwards,P259350,878901,2,0.9,"39,683","$58,058 ",$7.20 ,$5.74 ,$1.46 ,594776
FY24-P11,FY24-W47,5/13/24,Fond du Lac,Whey,WPI,100245-CS055,IWPI90,Wautoma - Port Edwards,P263506,889568,4,0.8,"32,408","$127,984 ",$6.95 ,$3.00 ,$3.95 ,594591
FY24-P11,FY24-W47,5/13/24,Fond du Lac,Co-Products,Whey Powder,1005061,WHEY POWDER 25KG,"Cargill Agri Purina, Inc",7001256592-1,889445,1,1,"42,163","$3,460 ",$0.50 ,$0.42 ,$0.08 ,594592
FY24-P11,FY24-W47,5/13/24,Fond du Lac,Co-Products,Whey Powder,1005062,WHEY POWDER TOTE (FOOD GRADE) KOSHER,MSG New Holstein Distribution,P263095-15,888636,1,1,"42,185",($990),$0.39 ,$0.41 ,($0.02),594593
FY24-P11,FY24-W47,5/13/24,Fond du Lac,Whey,WPC 80,104151-CS032,IWPC80 NON-GMO,Wautoma - Port Edwards,P263609,889824,2,0.3,"14,771","$18,726 ",$3.98 ,$2.71 ,$1.27 ,594594
FY24-P11,FY24-W47,5/13/24,Fond du Lac,Whey,WPC 80,104151-191230,IWPC80 NON-GMO,Wautoma - Port Edwards,P263609,889824,3,0.1,"4,277","$5,821 ",$3.98 ,$2.62 ,$1.36 ,594594
FY24-P11,FY24-W47,5/13/24,Fond du Lac,Co-Products,Whey Powder,1005062,WHEY POWDER TOTE (FOOD GRADE) KOSHER,Roosevelt Dairy Trade Inc.,19794-7,867373,1,1,"41,311",($350),$0.40 ,$0.41 ,($0.01),594595
FY24-P11,FY24-W47,5/13/24,Fond du Lac,Co-Products,Whey Powder,1005062,WHEY POWDER TOTE (FOOD GRADE) KOSHER,MSG New Holstein Distribution,P263095-16,888637,1,1,"43,170","($1,013)",$0.39 ,$0.41 ,($0.02),594597
FY24-P11,FY24-W47,5/13/24,Fond du Lac,Specialty,Lactoferrin,1005059,NUTRIPRO LACTOFERRIN-RICH 95 NGMO,VALFOO AG,10002470,883444,1,0,551,"$104,177 ",$191.87 ,$2.85 ,$189.02 ,594604
FY24-P11,FY24-W47,5/13/24,Fond du Lac,Co-Products,Whey Powder,1005061,WHEY POWDER 25KG,Nutrify LLC,542009,890082,1,0.2,"7,441","$1,362 ",$0.60 ,$0.42 ,$0.18 ,594605